MaxPool AvgPool Convolution ReLU6 Threads
0.00199986 0.00100017 0.0320001 0.00399995 1
0.00199986 0.00100017 0.0320001 0.00399995 1
0.00200009 0.000999928 0.0339999 0.00400019 1
0.00200009 0.00200009 0.033 0.00399995 1
0.00199986 0.00100017 0.0369999 0.00399995 1
0.00199986 0.00100017 0.0179999 0.00200009 2
0.000999928 0.000999928 0.017 0.00199986 2
0.000999928 0 0.0170002 0.00199986 2
0.00199986 0.00100017 0.017 0.00200009 2
0.00100017 0 0.0180001 0.00199986 2
0.00200009 0.000999928 0.0180001 0.00199986 2
0.00100017 0 0.0150001 0.000999928 4
0.000999928 0.000999928 0.0149999 0.000999928 4
0.000999928 0 0.013 0.000999928 4
0.00199986 0.00100017 0.013 0.000999928 4
0.000999928 0.00100017 0.0150001 0.000999928 4
0.000999928 0.00100017 0.0150001 0.000999928 4
0.00100017 0.000999928 0.013 0.00200009 8
0 0 0.0119998 0.000999928 8
0 0 0.0119998 0.000999928 8
0.000999928 0 0.0139999 0.00200009 8
0.00200009 0.000999928 0.013 0.00200009 8
0.00199986 0.00100017 0.017 0.00199986 8
0.00300002 0.000999928 0.0120001 0.000999928 16
0.00200009 0.000999928 0.0110002 0.000999928 16
0.00300002 0.000999928 0.0119998 0.00100017 16
0.00200009 0.000999928 0.0109999 0.00100017 16
0.00200009 0.000999928 0.0119998 0.000999928 16
0.00200009 0 0.0110002 0.000999928 16
0.00300002 0.000999928 0.0109999 0 32
0.00300002 0.00100017 0.0109999 0.000999928 32
0.00300002 0.000999928 0.0109999 0.000999928 32
0.00199986 0 0.00999999 0.000999928 32
0.00300002 0.000999928 0.0109999 0.00100017 32
0.00299978 0.00100017 0.0109999 0.00100017 32
0.00399995 0.00100017 0.0109999 0.00100017 64
0.00399995 0.000999928 0.00999999 0 64
0.00500011 0.000999928 0.00999999 0.00100017 64
0.00399995 0.00200009 0.0109999 0.00200009 64
0.0059998 0.00100017 0.0109999 0.000999928 64
0.00400019 0.000999928 0.00999999 0.000999928 64
